n00000	MA==
n01316	LS43Mjc2MzU0NjUwMzExNzMyNzg3NTM1MDYzMjcwODMzMjA3OTM4Mzk1OTk5MTA3MzE5ODBlLTEx
n01317	LTM0Ljc5OTA1NDc1MDE3OThlMTY=
n01318	NTA3Nzg3MzA0NzkyNjI1OTExMjIwMzMwOTM3MzE1MjEzNjU2LjE4NzU5NTg2MjU2MTE5NDIxOTMyMzk3MDMxMzk4MzMyMTI2ODcxNDIzNGUtNTc=
n01319	Ljc2NzIxNzMzMDc2MGU0Nw==
n01320	Ljg2NTZlODE=
n01321	LTY3ODQ4MzY1NTU3NDgwNi41NzU2NDU5MmUtNjM=
n01322	LS4xNjIxMDIzMzkzODI3NDYxNDIwNzUyNDQ1MDg4NjI1NDkwNjQwZTQ4
n01323	ODYxNTg2NjE4Mjk1NDE2MzgyNzU4NjAuNzA4MDU0MDUxNzAwMzYzOTcxOTIxMjI3ODQ2MjM5MDU0OTU4Njk4ODEyZS0xMDg=
n01324	NDQ3OTI2MTMwNTU5NzAyMjk1Njk0NDI1NTIyODI0OTUyOTM2NDQyNDE0NzY0NTUwNjEzMS42OTg5OTYxNzY3NzY2NTY2MTUwOTM0ZS0xMTc=
n01325	LTc1Njg2Ljk2MTk1NTc5MzExMzAzMzE4MjUxMjQ2ZS0xMDA=
n01326	NDA1MjQ0LjAyODIxNjEyNWUtNzg=
n01327	MDM1OTU5OTA3NzAxNTE5NDk1MTMzOTk5OTUzMDE5NTYzNzEwMjQ0NTAwMTU1Ny42NTkzMDI4MjQ1OTNlNTg=
n01328	LTkxMTE1LjM5OTc5MjY0MzUxMzkyOTkyODQwNzgwMzQ0MDEyMDIwNTYyMjgzMDE1MTU4MTI1NjEzNjI5NTc1ZS01MA==
n01329	LS4xNDM0NmUtMTEw
n01330	LTMuOTk1OGUtMTM=
n01331	LTkzNjU2MzEzNjcwNTI5NjA2MzgzNTM3OTA5NDE4NjgzMzg3MTg3NzI5NjA4My41ZS02MA==
n01332	LTA2OTY0NTk5ODg2NDQ5NDE1OTYzNTM2MDAwNTUyNjIwLjA3ZS04OA==
n01333	MzY1OTc0MTI2NDg0ODQ5MTE3Mjc1NjU0OTk1NDM2MjY3NjYyNDI2MTcuNDAyMTE5NTkxMzMwNDc5ODc4NjY1NTkyNjE3Mzk2MjY5MjczMWU2MA==
n01334	MDAyNzcuM2UtNDQ=
n01335	LTY5NDE3MjE2Nzg5ODAuMjg5NTkxODQ5MDA3MDY1MjYzODMxNjg5OTUzNjMyMjgyNTg3NTY1NDU3MDkzMjUyNTY0ODk3MTI1OTIyMTUzODNlNDg=
n01336	MzE3NjM2MzI4MjM2LjQ2ZTcw
n01337	LTE5Nzk3Njk3Mjg5NTA3NDQ4ODc3ODY4OTAxMjYxOTM1LjAwZS0yNg==
n01338	LS42ODA3OTM3MTU3NDkwMjI5NDM3MDEwZTc=
n01339	LS40M2U1
n01340	LTI0MTQ0MDU5NjgxOTc2NDUwMDY0MDM0OTI4OTc1NjA1NzU0NzQuMDk2ODgwMTg4N2U5Nw==
n01341	NTk5NzQwNDc0MzQyODg2ODA1Ni41MzU1MDk3NDU2MjUwNjUwMjQwNzIzMzc5NTI0NDEwNjEzMDQ1NDMyNzcwODM4MjE5OTgxZS0xOA==
n01342	LTIzNjkzNjA4OTgxLjMxMzk5MTQ3MjY5OTQzNTE1ZTgy
n01343	OTMwNDg0MjQ1NDc5NzQyNDgwODQ0NjYyNDE1NjU2MTAwODgwODE3MzE0ODE2OTM2OTA3NDA4MDczNzg1NTQuOTkzZTU3
n01344	LTI4MjczMjc2ODc2NTY1OTY1OTExMzczNjQ0NjMzNDM2MDIwMjQ3NjM3ODAzODMxNDcyMTYzMTAwNDk2Ljc1MDc3NzQwOTI1OTc5ODMzMjc2N2U1Ng==
n01345	NzU3MTUzNjgxMjAzMzk3MjkzNDQyNjQyNC41MzQwOTM5NDE1NDIzNDQ1MTY5OTg4MDg1MDc2NjM3ZTc0
n01346	LTk0Nzg5OTAyMTAuNjU2MzIzNjEwNjU3MTA2MDQwNzZlLTcw
n01347	NjIwNjI5NDk0NjEyODYxNDUxMTEzODcxMjExMTI1ODUuZS05Mg==
n01348	LTQ5NTMwNzY1MDE4NTI0NTg1MjA1MTM0NjYzLjI2MTg1MDcyNTIwMWUtOTY=
n01349	ODE3NTc3OTAzOTAzNjA3NzYwNTM2OTE1NzQ4MTUzNTE0MzU1MjYxLjQ4MDQ1NGUyMQ==
n01350	LTA3MzYzLjA2NzVlODU=
n01351	LTE4OTI5NTAzMzQxOTM4LjE2MDIxMzIxOTMyODc2Mjk4NzcxMjI2NjgwNzU0NjAwNzc4NTQwNzQ2NzcyNGUtMzE=
n01352	NTIwNDM5OTQzNjk0MDUuMDEyNTc3ZTUy
n01353	NDc5OTE2Nzc2MzE3NTg3LjNlLTU=
n01354	MDE0Nzg4MjkwNDU1NjE0NDg4NjY5ODkxNDIxODU3MDU4MDM0MDcyNTU3MjQ5NjA1LjgzMjUxNjY4NDc4ODYwMTIxMzI3MzMyM2U3OQ==
n01355	LTk0NTA2MjcxLjYzNTIyMzExNTUyMTIxNzM4NjhlLTUx
n01356	MDY5MzgwOTUxLjYxMTIwNzI2MjY1ODY5ODAxNjkwNDgzNDAwNjU3ODcwNzcyMTE3MzEwNjQyMDY4MjcwOTM3Nzk5ZS03MQ==
n01357	NjYwOTA4Mjk3NjUuM2U3
n01358	MzA1ODQzMjM5MDg0OTQ3OTE3MzMwMTM3NDIwNTU3OTgwMTguODc2ODExODg1NjA1NjA3MDk5NDY1OTk3NTEwNjQxMTgyNzA2MDk5ODg3NWUtNTY=
n01359	Nzk4NDk3OTc3NDUwODE3MzIzNjEyOTE1ODYwMDI2ODAxODMwMzU0MDk1ODM2NzU2MjU3MDg2MC44MzI3ODEwMTI2NTIzMjkwZS01MA==
n01360	MDcwOTY4MjIxNjkyMjcyMS44OTE2ODQyODQ3Njc5MDM5MzAwNzAyMzM4M2U1OQ==
n01361	LjQ2NTJlLTEwNQ==
n01362	MDkuMTc1ODE5MjAxODE0NzQxMDk3Njg1OTE4MzIyMTg5MjkxNWUtNjg=
n01363	LTIyMjkyOTc3MDQ0NDg3MTI4NjI0NjQwOC4yOTg5MDM1OTYwNDk0NDA3MDQwNDBlNDE=
n01364	LTI1MTU0MDgzNjE1MDMxMC4xODQ4OTY1MjcxNTI0NDY3ZS03Mg==
n01365	MTY0NDM4ODYxNDU0MTk4Nzc5MjMxNzU3OTk0NjMyODI3ODA2NjY0MjE1OTI2NTkwMDA5NDY1OS41MDUwMTYxMzAyMTgwNmUtNA==
n01366	LTc1ODQwMTY1MTE0NDUzMzQ3NTI5MDYuMjAxNDM5NTk0NjNlLTU5
n01367	ODQwNjkuNmUzOA==
n01368	LTMzLjI2OGUtNzk=
n01369	LTY3MTQyMDEuMDExNzYwOTI0ODQzNjBlLTQz
n01370	LTYuNzkwMzY2OGU0OA==
n01371	MDQxNzI4ODAwNDk2ODA3NzY2NDI1MzIzNDY0Nzg4NTUxMTI4NDYzNjQyMDU0Nzk1NDI2OTA5MDM2Nzc5MTQ0NjQ2Ljc2MjcyMTgzMjE1ZTUw
n01372	LTMyNjAuMDMyMjExMzM4NDA1ODE3MDU1NjA3NTQyNDY2NjEzODAyMjA5Njk3MzQwMzAyNzc4ZTEx
n01373	LTk3OTA0NjAxMzE5Ni43MjZlMzE=
n01374	MzUyMzQ5MjI1Njk4MDczMjM1MzQyMjI1MDA5MjY2My45ODEwMDk0OTkxMzczODg1NzA4MjgyMzExMDQ0MzMyZTM=
n01375	LTQ2NDU1ODY1MDUzOTkyODA1MDAwOTI3MTUuNjAzOTg3MjQ4MjU3Njk5ODgxMTQ4ZTIx
n01376	OTY4NDcwNDUzODE2Nzg5MTQ4NDMyMTk5ODQyMDU5NjA2MjQxOTYzMTU2NDYzNDMwMDA1ODY5MDEzOTczOTI5NDQzNzQuODE3NzAxMTNlLTE0
n01377	LTg3NzExNi4yOTQ5ODI3ODczNTQxODMyNzM4NjA4NTk2ZS03Ng==
n01378	NDU1OTg2NzE4MDYyNTE4MDI4Mzc4MzE0MjE0NjM4NjUuM2UtMzg=
n01379	LjI3NTIzNjMwNjQyOGUtOTg=
n01380	MjAxMS45MDIwNjkwMDg0NDc0NDEyNzYxOTI4OTk5MTg0OTg1Nzg2MjI5NDM0Mjc3MWU0
n01381	Mi40MTMyMDgwNzg4OTIzNzQwMmU2OA==
n01382	LTM3LjczMDkwMWU5
n01383	MDYzNjA3NDk3NjMyMzY4OTUwMzYzOTkzMjI3NTcuMjg0NDQxMTk0NDg5MGU4Mw==
n01384	LTE5MTUuOTA0MTUyMzkxOTk5MTU4MTllNjM=
n01385	Mzc0NTcuODQ4NjUzNzcyODk5MTEwMzkzODg3ZS0xMTI=
n01386	LTUwODY2MjM1OC4zNjQ0NTU3MDQyNjkzZS04Mg==
n01387	MjkuMTIzNzMxNDI5NzhlLTExMw==
n01388	LTkwLjRlLTQx
n01389	LTU0MzU4LjgzNDEwNzc4MzI5OTgzNDIzNzg2ODUyZTM0
n01390	LTMzNDgyODE5MjQ0ODM3NjIzMDI5NjQxMDQ4LjE0ODUxNTE3NTA4NzUxNjQxNjc5MjI5MTYwNDIwNDM5MjY4ODUzNDA1OTAyMjRlLTYy
n01391	NTU4NDQ4MDI2NTY2MjgzOTQ1NTU0Njc2Nzg0MTc3NzY3MDUxNDAwMjc3MjI3NDgwMDM1ODM1NzUxMzk0NjkzNi4wOGUtMjE=
n01392	LTkzNzc4NzY5ODAwNTEwMjA5MDQ2NzM2ODI5ODQ4ODQ2LjU0ODUwNDc0MjE3NjAxNTMxNzMxZS04Ng==
n01393	NTM1NDQ1MjQ0NDIxOTcyNDE2NS4yMjg5MDUzNDk0NTk3ODM2NzE2NDI0MzAyNzAxNjk4MDAwMWU5MA==
n01394	LTk5NTg1NDk0NzU1NTE3MDEwMzk1NDQzMDQ0NzM1MzAyNTI4MjE5ODk2MDg1MDYuMjU0NDU3NjEzNzMyNjYyODA5MzgxODgxZS03Nw==
n01395	LTIwNzYzMzYxNDM1NDE4OTQ3ODQwOTU1MzYwODY5NDM5MjM1MTgyOTY5NDA3NTA2NjguOTUwMDAxNTRlLTIx
n01396	LTQ3Mzk5Mzc0NzQ3OTUxNTgyNzEuNzcyMDE5OTEyODY3MzQ3ODU5MjAzNjY1MGU3MQ==
n01397	LTQwNjU5ODQyODQzNTQyLjQ3OTAzMDE2NTg0NTY5MDU0MjIxNDkzMTg0NzUxOTg2NjUyNDI5NzJlLTE2
n01398	LTg0ODAxMDg1NDgyMDM4NzIuMzM1OTE0MjAwODAyNjg0MjE2MzQyNDEyODkyMTc5MTQ1ODYxNjMxNzEyMTA5NTU4MzYxNTk0MDg3Nzc2NDRlNTg=
n01399	MjM3ODA0OTIzNDgyLjM0NTM0OTU1MTE4NDk5NzUwMzM5MTEwMzUzMTk0NjEyZS02MQ==
n01400	LTI4MzkxNzc0NDM4Mjc3NDkwMTI1NDkuODQ3NTc0MTgzNTI3MzQ3OTY0NDM4MDY4NTk5MDUzOTIwMzk3Njg3ODY5MjYzNmUtOTA=
n01401	MTEzNDU5NTQzNjU4MS42NDQ3ZTI0
n01402	MDU0MTA4NjMyNTg0MDkyNDQ4ODI3MDkyNy4xNDI0NzYwNTk0OTI3Mjk4MjQ0NDc2ZS0xMDM=
n01403	MzcyMC40ZS04
n01404	LTg0NTc2MTcxMzA2ODMwNTY2NzM1Njk3NTgxMjgwMDE2MDQwMDI5NjIxMDEuNzM0MDU4MjA2Mzk0NjU2NTU1OTcxNGUtMTE4
n01405	MzQ4OTQ2MTA3NTg4MTYxNDg3NzM5NzE0MzU0My4wMTFlLTEyMA==
n01406	LTMwNDM2Mzg1MzA2Njc4MDczNjgyODAwLjc0Mzg2MDYwNjcwNDAzOWUtMjM=
n01407	LjFlLTg4
n01408	LTA5Njg3MTc5MDU3MzA0NzAwNTE1NTkxODM2NTk0NjQyMTkzLjE0Mjk1Mjc0N2UtNTI=
n01409	MDAzMDM0OTIxMzE1MjE2MDE0LjQzMjgyNDI1MTc1MzAyMzI0OTIzNjcyNjdlLTY1
n01410	LTEzMzg0MzI1NzgxMjgwLjg5NDc5OTQ5MDI5NjYyMzUyODJlLTkz
n01411	LTk3NzI3NzQ2OS4xNGUtNTY=
n01412	NzA4OTMwMTUyMTAyODU0NjY5NDA2NjczMjEzNzg0OTAwLjIwMzY5ZS0y
n01413	MDA2MzguMzU0MzIzNDE1NzkzNjk2NDM1ODIxMTAzODczNzQ2NzE1N2UtMTg=
n01414	MTQ5MzE1NjMwNzcwNzQuMTYyM2U0MA==
n01415	NTQuMzI2NDM3NTA2MjU1OWUyNA==
n01416	MzI4NDIzMTAwNjg3OTA4MS41MjAxMDU5NzE4NTcyMTUwNTU4MTA2NTUxNTc3OTUwODU4MTM4NzE0NjEwNTgyNzI1MTg5Mzk4MThlMTQ=
n01417	LTk2MzA3NTAyOTU5MjY0MzQ2NzIwMDE1NzA4MjE0OTQ0ODc1NTc0ODA0NC4zODg4MDAyODM4NDYzMzI3NTA4Njc5MDIxNTk1MzE4N2UtNTE=
n01418	LTgyOS45MDg4MzA2OTEwOTM1NDc2ODM5OTU4NTQyNDg3MDYyMDU5OTQ3MDQ2NDg5ZS0xMDQ=
n01419	Njk4NTAyNzExMDM3OTEyNTAyNjIyOTQ0NDUyMC40NDIxNTU2NWU0MA==
n01420	MjI1ODIyODU4NjU3NS4xMzEwMDg1MzIzMTE4OGUtOTE=
n01421	MjkwMzY4NTQxNjE3MzIuMjIyODE0NTAzNDdlLTM4
n01422	LTU5MjcyODUwNTgwODQxMzY0MjE0NTQ0Ni4wMzg1MjI0ODI0OTAxZTY2
n01423	MDA4MDY4Nzg5NTM4ODg4NDY1MTM0MjguMzg2OTllNzA=
n01424	NDQ4MzUxNDI2OTQ5NjIxMjQuMzFlLTc3
n01425	ODQzMjQ2NjcyMjYwMTk4OTc2MTQ1MzI5NTgwMzUzNjYyMTQxODg4MTk5MTMxNDg3OS44MDY3NjI1MGUtOTA=
n01426	OTc5MzUyODI3NDcyNjgwODc0NDQ0OTM5MjQ0NTQ5NzAwODEzOTc3MC41MDY4ZTc2
n01427	LTk0MzMwNjYuNzg1MDY2ODdlLTExMg==
n01428	LTcyNzEyNjM4ODkwNjk4LjcyMDAyOTIzODY2OWU0OA==
n01429	MTkyLjQ2MzI2OGU2NA==
n01430	LTQ4MDk4Nzk0NTYyNjEzNTEyNjA4NDkyMjgwOTAyODQ2MjczMzQwNDUzMC43Njc1Mjc2NDE3NTU4MzQ0MDM1MTU4OTI5MTgwODgyMjYxMDIwZS05Mg==
n01431	LTkzODE4MTg4OTgyNTYzLjllLTY2
n01432	MTg0Nzk0NTI3OTI0ODM0MDAwMjk4MTU2MDIwOTM0NjUyNzMyNDI4NzIwNzM5ODYzNjY5NjQ5Ny4wODZlNA==
n01433	LS44NTAyNmU4Mg==
n01434	LTY1MTE2OTI0MzgyODk5OTU3MDE3MDU4OTU3MDIwMDk2LjQ0MzU4NTYxMTgyNGUtODE=
n01435	LTc4NTQ3LjYxMmUtNDA=
n01436	ODk5NzQ1MTQ0MDM5OTg4Nzk2MjE1MTY5NTM2NjM3NDIyNTIuNjM3MzEwMDMyMTAzMDFlLTEwNg==
n01437	LjYzMzQ5OTQzMjU0NTM5NDY3NDcxMTI3NTgxMDE1MjEzOTIwNzExMzgzMTEwODA4MTU2N2U0
n01438	OTM0MDA1Mjc2MDM1MDc3MDI1NzE2NzAyNTM3NC4yMzg4NDE0NjIxNjc3MjAyNzIyMDI2MjEwZTIx
n01439	NTU3NTU0MzYzNzU0NzM0ODA0MjE1NzIyMzkwODQ0NzkuODM2MTk2MDc1ZS05MA==
n01440	NTk2NTQ4OTY5OTc2MDcuMzkwNzQ5OTAzOTIzODgyMzc1MjkwMDYyMDkwNDAzMDQ5NzYxOTE3NTc5NDMwOTI3MDMzNjY2NDg3NDIxOTFlMTg=
n01441	LTA0NzcuNDI5N2U4NA==
n01442	Nzk2NTQxOTQ4NzQxNDM2NTk1MDM3NTM2NTg2MTM5MTQyNDE4NDkzMDI3MTUzNTA5NTc3NzU2NTM4NDI2NTcxOTg2My41NTQyMzIxNmUtNzI=
n01443	Ni4zMjcwMTYxMzQ5Njc2MzYxMzQ4ZTk5
n01444	MjE4OTA0MTM1NTcyOTI0MzM0NDA3Mzc2LjA1NDQ1OTY2MjYxMjYzNjE1NjUxNzQxNjk0NDczMDY0NzQwODczMmUtMzE=
n01445	LTY0MTgzLjIwNTEzNjU5OTA4NDIwOGUtNzA=
n01446	LTI1NTYyODIzMjQ0NC4wNjgwNDczODI4NDMxMzY2MTY0NjE3ZS02OQ==
n01447	OTM5MDM2NzI3MDM2LjcwNDAzNTIxMTcxNjk0MDE1NTMzODAzODQ4MzUxMzgxMDgxMDY2MTE1MjQ5OTQwNTQ0NzE4NTExZS0xMTA=
n01448	LTIwNjE4NDgxNjI4ODk3NDk2LjQ5ZS00NQ==
n01449	MTEzLjcyNTYwMTQzMDU3MzAzMTI5NWUtOTA=
n01450	MzY4Mzg4MDgxOTk5ODAyMjczODYwMTg0Njc5Njc1LjczNjQyNDQyZS01NQ==
n01451	LTYzNi42OWUtNg==
n01452	MjIyODc1MDI5Mzk2NDU5LjU5MzA2MDg5NDI4NTkwOTkxNTgyNjAzOTY0Njk2Nzg3NDE3MDAwOTc0Mzc3NTgxODUzNDI0OTMyODc2MmU5NA==
n01453	LTg1MzIxNDcxMDAwMDg5LjkyNzQxODY4NjEyNTIzMzYwOTc3MjYwNzAwOTY2NjAzNDY0ZS0xMDU=
n01454	LTAuOTU4NDA0ODUwNjA1NzI2Njk3NzYxNjM4ODA0NjVlNzc=
n01455	NDYyNDEwMTgyNTQ1NTYxMTgxNzc3MjE5OTM4NTEwMjMzMTg5NjE3ODUuZS0xNA==
n01456	LTYwNTg1MDA1ODYyMTQ3NjEzLjI2NDQ4ODQ2MTk2NTkwNzkyMTE4NTkwNjc3ODYyNzczMzA4MDUzMTQzOTQzMjA5MDA5MTA0ZS05MQ==
n01457	OTkzOTIuNDUzOTYzNzI4NDVlMzI=
n01458	LTg4ODg2NTQ1MzU4NDIyOTIuMDQ5NzM0NDA2NDYzOTUxODUwMDc1MTIzMTc0ZTQw
n01459	MTY0ODAxODYwNjMxNDU4ODg5Njc1OTM3LjkzNDU3NzMxODk1MTcyNzMxODllNjk=
n01460	LS4zODk5MzQ2MTc5ODA3ZS02Ng==
n01461	LTE2NDA2MTMzOTY0MDguMzFlLTEwMw==
n01462	LTI2NjIyODY1NjI1MDc3NTY3LjQ1NTQzMDg0MzE0OGUtNzY=
n01463	NzAxNjA0Mzc3MzcuMzQwNjcyMjY0NjExMDgyNDY3Nzc3NDQwMzUxMzI3MTZlLTg3
n01464	LTUyNzc5MTQwNjY5NDc1NzY3MDQuNTk0NzAyMjEwNTc5ODQwMzU2NTQ2OTE3NDIzMTA1MjI3NzU5MmU5OQ==
n01465	NTIzODQxODc0MjUyODY2MDUxOTEzNTMzMTgzMTczMzE2NDg3OTk5MTcuMTE2NGUtNzM=
n01466	MTQwLjU3ODY2MzAxMTE3ODQ5MjkzMjMwMzE5NzMyODc4MDk5NjQxNzUyMDI0NDgyMzg1NTAzMDY2Mzk2N2UtNjA=
n01467	NDUyMDQzNTI0NjQ1NjE4NC4zODc3ODI4NTQxOTI5OTE1NTk3MTZlODg=
n01468	LTc1OTczNzYwMjUyMzk4LmUtNDc=
n01469	MjkzNTY0OTUuNjY1OTY4NzQyMTQ3NTg0MTZlMjc=
n01470	NzM2NzM2NDc3NzYxODM3LjgyNDc4NjM4MzQxNTc0OTI0Mjg0MDgyNDY3NTE5NjI4NDU2ZTU4
n01471	LTcyODcyNjk5MjMxMTQwNDk5NDkwMjgxOTk5MDg5NTExNzUwNzQ0NjYuZTc3
n01472	LTkzMjQ0NTk3MjIuMzcxMzM0NTU5Nzk1Mzk2NzMwNDEwODExMjMyMzU2MzU4MTQzMTEyNTI4MjYyNjUxMDY1OTA4MzYxNzdlMTk=
n01473	LTM1OS43ODM5NTc4MDk4NjYzMTE4OTk2ODYyMDA2OTE5Nzc0NDcyNzcyNDY2Nzg0NTc1NzY0OTI0MjI1OGU1Mg==
n01474	MzA2ODE2MTQ2Njg1ODA0OTI4ODc3ODE4MTY2OTI1NjAxNzEyLjM3ZTM2
n01475	LTIxNTU2My4zMzMwOTc3NDk1MzU4MDY1ODIxNjM1MDA1MjUzMDAxOTY0NjAxMDg4ODBlLTQ5
n01476	LTYzNzk4NzUyOTAuMDcyNTE4MDUwZTU3
n01477	LTE4MDIyODczNDA5NzAyMTYzMzcyODg2NTIwMTQ5Mjk1NDAzMDQyMjU4NzQ4LjA2MDY0NzY4NjE4MTkyNDMzOTA0MjBlLTU5
n01478	ODM0NzgxNzkzODU2NjAxMzExMzcwNzMzLjQ0MDUyMDM1NjkwMzVlLTgz
n01479	MDAwLjI1MjUzMDU0NjQxMDA3NDRlNzM=
n01480	OTExMjcuNTIyNzAwNjUzNzExOTM5MDQ5NzEzOGUyOA==
n01481	LTI1ODUyODYxNTA2MDExNjM4NjI1NjY4MzU3MDEwOTMwNTU3MTI0NDk0ODkxOTAzMy4zMDExMTQwNzE2MDk3ZTU1
n01482	LS42MTg4MDAyODA3NjA5NTYyNzA3MzQ3OTM2NDIxNTgxMGUtMTE2
n01483	LTA2MDg2NTkwODI1MzI2MjgxNDIzMjI3ODguMzhlLTExMA==
n01484	NTE1MDg1LjIzZS00NQ==
n01485	NTMwMTEyLjAxMzcyNjk2NTY3NDQzOTc5MzIwOTQ0MjAzNjI1OTcwOTkyMzU5OGUtOTM=
n01486	Mzc1NDY3NjMwNTQxMjI2MDE3ODg5ODk4MTExMTEwNDgzMDQyODc0OTQ1ODg2OC42NzI4ZS04OA==
n01487	NTgxMjUzMDg5NzAzNDYwMzgwMjgyODE5OTgzNTcuNjQ4NTQyMjA4ODI4Njc5MDUzNTYwOTExNjIwODY1MzE2NDE1NDY5ZTU1
n01488	NDc1ODI5OTE3OTM5MS4zNzQ4MjJlLTQ3
n01489	LTA4OTk0MTc5OTEuNTU4MDQ3MjEzMTQzMDgyOTAwMzg3ODg4ODYzODY3MzA1ODU5MjE1NzU1MzAxODg4NTIyZS0yNA==
n01490	Mzc3NDI0MTg4Mzk2NDEyOTgzMTY5NTA1MDYzNzkzODI3MjA0MzA5MjQ4MzEyMDI3MTE0Mjk1NTA4MjkyMDQxMDE4MjUzNTUuMDAyMzc5ZS0yMw==
n01491	NDkzOS41ODYyMTcxMzE1OWUtMTA5
n01492	LTIuZS0yNg==
n01493	LjEzNDczMzc2MDMzNTllODc=
n01494	MTg1MjA0NzczNDA5NjY2NDI3ODM4NTkzNTc4MDA3NzIyNTQwMjkzMjc3MDg2MTQ2NTY0NTgwMDIwOTU1NTIuMjgyMTc3ODE3MTg1NGUtMjQ=
n01495	LTQyOTMxNjY4NzcyMS4wNjE1NDI2NDEyODA3NDIzOTcwMzEzNTcyNTA4NjIzODEzMjA2MTM2MzUyOTQwNTU2OTc0NDc5MTAxNTQyODE0N2UtNjM=
n01496	ODU1NTg3MjIuNTEwNjc2MTMxNjM5MjE2Mjc4MDc3MzAzNDM2MjMzNTg5Njg3NjY1NTk0NDdlLTEx
n01497	LTE0NTM4Mzg5MTE0MDM4MjEzLjMzMDA1NzUxZS00Nw==
n01498	LTQwMzM0NTUwMDM0ODYuODkyNjdlLTE0
n01499	NjM4MjQwOC45MzU1MzAyNTc5MTc2ODUwMTU1MTgzOTExMjY3OTAwMjM4OTY5MzJlLTE=
n01500	MDU1MDc0LjI2Nzg3OTg5NzgyNzg2MzUyMDM2NjIxOTM4MjgxMTkyZTA=
n01501	NzcyNTQ3NjkxNTc0MTQ4NDA4MTMzMi44Nzg5Mzk4NTAwMTEzNjcyOTc4OGUtMTE5
n01502	LTg0NzkyLjY0ODk2OTI1NjUyNjk0ODUyNzEwODczNTE3MjIwNDk0OTExMzg3ZTQ5
n01503	LjkyNDUxM2U0NA==
n01504	LTIxNDQxOTM3NTM0NTkxNjc3MzIzMzYxMTE0NTc2NTQzODQ5ODEuNzk3OTk0NTIzMzE1MjEyNTk4ODMxOTU1NDE2MzUwNDk5NjUwNjUxZS00OQ==
n01505	LTk1NTc4MzE2NzQzMjkwNDU1NTI1NTgzMDA2MzEzODEyOTc0OTEyMjQwNC43MTY5ODM0MjQ2ZS04
n01506	MTM0NDc1NTQzLjUzMTQzNjQxNTM3OTY0NTc4MzExMjQ2NDU3MTY2NzE0Mzg1NzA5MThlNTA=
n01507	NzY4Nzk5MDAzNjA5MTE4LjA0OTY0NDc0NTQ1MTY5ODc5NTcxMDMxMTk2MjQ1ODgyMTQ5NjU4ODEwNDUzNDkyMjc0ODQwNTU4ODE3OGU5NA==
n01508	LTY3NTExMTIxMjM0NzM4Nzc1OTYwODE4NDY0NTQ4NDE4MTc4MTYyMTc5Mi40MTkzNjM5ODY3NTAyMzNlNDE=
n01509	Mzg2ODUyODExNTgzMzY1MDYwMDE2NDAwOTg4ODM0MDI1Njk5NjgyNC4yNjk3MDQyODdlLTI3
n01510	LTkwMzU1NDA4NzAyMzk1NzkuNjk5ZS05NA==
n01511	MTc0MTEwLjkxMDExOTg5MjUxNjIwMTAzMjQ2MDU5NTJlLTk1
n01512	LTUuODU3Mzg5NDM3MDY5MTcxNDkwNzE5ODgwMDc0NTQxMzE0NTkzOTg1MTQ3NTkzODAxNjkyOTRlLTExOA==
n01513	LTM1NDEzNjgyMzQxNzgxMjI1MS42MTU4ZTMx
n01514	ODAxMzA4MzAwMDM1MTI0Ljg4Nzk5MjY5OTQ3NzE4NzQ2ZS0yNw==
n01515	LTQ3MjIzMjQ2MDM1MTA2Mzg0NTE2NTg3NDMzNzkwNzM0MzYzMzQ2MDg0OTEuODU1OTYxMTk1MDcwOTE3Njc2MTZlLTEwNw==
n01516	LTEzNy5lLTExOQ==
n01517	LTkwMDYzMjYwOC4wOTkzOTFlNDc=
n01518	NjA4NjUzNjU5NzY4MDE3MDk4OTIzMy44NzIyNzk5MzQ0NDYyMzQ3NjI5MjA2Mzk2OTkwMDY3NDY3NzQ1ODgzNDQyNjIzMDkxMjY3NGUtMw==
n01519	LTE3MzgyODUzMjI4OTUyODk4MTU3OTI1NjczOTY5Nzc1NDUxMjIzNjkyMDMzNjk3NDUyNzE3MDUwODE3NTEwNy5lLTEwOQ==
n01520	LTQ2NTI0NzM1MzQ2NjgxMjguMzk5ODg1NjA2Nzk3NDk1MjExMjM0NzE0MTYxMjJlMjk=
n01521	LTYzNzIzMTk4OTg3MDk2ODQ2NDY0MjQ2ODE5ODM3LjIwNzEzNjE3ZS01Mw==
n01522	LTkzOTE3MTgyMzA3MDc1LmU0NQ==
n01523	LTc3NDEzOTg2NTg5NTMuMTZlNzc=
n01524	LTQ4ODc5MTg5NzkwNTI0MjgxNDI3MTA2MjMyNjU3MjYwODI4LjkzZS0z
n01525	NDMyMS4zOTE2NDA5ODUxOTM2ZTgz
n01526	Mzc0NzcuNDQzODA3MTIzNzI0OTM1Njg5NzEzOTIyNjA3OWU1Mg==
n01527	LTk4NDQzNC4xMzJlLTE2
n01528	NjU5ODc0NTU2NDEyNDI4OTQ1MDE3OTkwNjUyMzk0NzQyNTU3NS43NGU4Nw==
n01529	LTk5MTY3OS41OTcxNjQzMzg1MjYyMzExODYwODgxMDk3MzUwNjg4NzAwNTg2MTcyMzU3MDQyNTE5NzQ1MjI4NTM0NTg3ODkzNTM2MTM1MTNlLTg3
n01530	MDg1NTg1MDI2MTAyMjU1MzAwODQzNDguNDYwNDQ1Nzc5MTQ2OTU2MTk0NzY5MjgyMDUxOTQ5NjE4NzIxM2UtMQ==
